Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,population
São Tomé and Príncipe,35,5,2,10903.0,2180.6,3,0,0,0,1,1,0,0,209607
East Timor,70,1,0,3443.0,3443.0,1,0,0,0,0,0,0,0,1391221
Cabo Verde,113,9,5,16806.0,1867.33,2,1,1,0,5,0,0,0,491233
Mali,24,3,0,8082.0,2694.0,1,2,0,0,0,0,0,0,22395489
New Caledonia,15,0,0,1650.0,1650.0,0,0,0,0,0,0,0,0,0
Barbados,183,22,8,44411.0,2018.68,5,5,4,0,6,2,0,0,267800
Bermuda,93,11,2,22632.0,2057.45,8,1,0,0,1,1,0,0,0
Bhutan,26,3,1,6393.0,2131.0,2,0,0,0,1,0,0,0,784043
Vietnam,1838,202,101,419788.0,2078.16,38,32,20,13,27,50,16,6,101343800
Monaco,102,28,12,60161.0,2148.61,3,7,3,3,6,2,3,1,38423
Myanmar,1003,49,8,109024.0,2224.98,4,35,5,0,0,5,0,0,51316756
Burundi,30,1,0,3979.0,3979.0,0,1,0,0,0,0,0,0,12332788
Guam,113,9,4,17759.0,1973.22,5,0,0,0,4,0,0,0,0
eSwatini,98,6,2,11839.0,1973.17,4,0,0,0,2,0,0,0,0
Taiwan,282,20,10,39802.0,1990.1,5,3,1,1,7,3,0,0,0
Jersey,47,15,4,30075.0,2005.0,9,2,0,0,4,0,0,0,0
Dominica,17,1,0,3473.0,3473.0,1,0,0,0,0,0,0,0,67408
Belize,6,0,0,1719.0,1719.0,0,0,0,0,0,0,0,0,417634
Gambia,25,4,0,9807.0,2451.75,3,1,0,0,0,0,0,0,2422712
Rwanda,51,5,2,10765.0,2153.0,3,0,0,0,1,1,0,0,14104969
Dem. Rep. Congo,12,2,0,5532.0,2766.0,0,2,0,0,0,0,0,0,0
Guernsey,31,11,2,20731.0,1884.64,8,1,0,0,1,1,0,0,0
San Marino,25,7,0,15170.0,2167.14,4,3,0,0,0,0,0,0,34132
Gabon,15,2,0,5617.0,2808.5,1,1,0,0,0,0,0,0,2469296
Vanuatu,32,2,1,4849.0,2424.5,1,0,0,0,1,0,0,0,321409
Burkina Faso,18,0,0,1609.0,1609.0,0,0,0,0,0,0,0,0,24070553
Liechtenstein,38,8,1,17403.0,2175.38,4,3,0,0,1,0,0,0,40900
Laos,34,3,2,6443.0,2147.67,1,0,0,0,2,0,0,0,7647000
Cambodia,14,3,0,7498.0,2499.33,1,2,0,0,0,0,0,0,17577760
British Virgin Islands,7,0,0,1751.0,1751.0,0,0,0,0,0,0,0,0,0
Mann,23,2,0,6329.0,3164.5,0,1,1,0,0,0,0,0,0
Saint Vincent and the Grenadines,8,2,0,3802.0,1901.0,1,1,0,0,0,0,0,0,110872
Greenland,3,0,0,1858.0,1858.0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,14,1,0,3983.0,3983.0,0,1,0,0,0,0,0,0,1668768
Papua New Guinea,12,6,0,11537.0,1922.83,3,3,0,0,0,0,0,0,11781559
NON,3,2,0,5129.0,2564.5,0,0,0,2,0,0,0,0,0
Tonga,3,0,0,1448.0,1448.0,0,0,0,0,0,0,0,0,100179
Grenada,5,0,0,1531.0,1531.0,0,0,0,0,0,0,0,0,109021
Saint Kitts and Nevis,3,1,1,3039.0,3039.0,0,0,0,0,1,0,0,0,51320
Niger,1,0,0,1629.0,1629.0,0,0,0,0,0,0,0,0,26312034
